Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd
2,2,28.29569,0.0,28.29569,0.0,*,*,*,*,*,*,*,*
2,4,29.268135,0.000755,29.271146,5.3e-05,*,*,*,*,*,*,*,*
2,6,31.407833,0.006868,31.396196,8.9e-05,*,*,*,*,*,*,*,*
2,8,30.33931,0.070001,29.95137,0.092848,*,*,*,*,*,*,*,*
2,10,*,*,*,*,*,*,*,*,*,*,*,*
2,12,*,*,*,*,*,*,*,*,*,*,*,*
2,14,*,*,*,*,*,*,*,*,*,*,*,*
2,16,*,*,*,*,*,*,*,*,*,*,*,*
2,18,*,*,*,*,*,*,*,*,*,*,*,*
2,20,*,*,*,*,*,*,*,*,*,*,*,*
2,22,*,*,*,*,*,*,*,*,*,*,*,*
2,24,*,*,*,*,*,*,*,*,*,*,*,*
2,26,*,*,*,*,*,*,*,*,*,*,*,*
4,2,26.923628,0.005448,26.923542,0.005448,*,*,*,*,*,*,*,*
4,4,56.499539,3.5e-05,56.49954,3.5e-05,*,*,*,*,*,*,*,*
4,6,64.977177,0.000401,64.976359,8.1e-05,*,*,*,*,*,*,*,*
4,8,68.649977,0.015005,68.648723,0.001909,*,*,*,*,*,*,*,*
4,10,69.91462,0.132245,69.91462,0.132245,*,*,*,*,*,*,*,*
4,12,*,*,68.564622,0.165797,*,*,*,*,*,*,*,*
4,14,*,*,*,*,*,*,*,*,*,*,*,*
4,16,*,*,*,*,*,*,*,*,*,*,*,*
4,18,*,*,*,*,*,*,*,*,*,*,*,*
4,20,*,*,*,*,*,*,*,*,*,*,*,*
4,22,*,*,*,*,*,*,*,*,*,*,*,*
4,24,*,*,*,*,*,*,*,*,*,*,*,*
4,26,*,*,*,*,*,*,*,*,*,*,*,*
4,28,*,*,*,*,*,*,*,*,*,*,*,*
4,30,*,*,*,*,*,*,*,*,*,*,*,*
4,32,*,*,*,*,*,*,*,*,*,*,*,*
4,34,*,*,*,*,*,*,*,*,*,*,*,*
6,2,24.782485,0.023068,24.812277,0.018243,*,*,*,*,*,*,*,*
6,4,60.320499,0.000403,60.320509,7e-05,*,*,*,*,*,*,*,*
6,6,92.161816,0.0,92.161816,0.0,*,*,*,*,*,*,*,*
6,8,105.284559,4e-06,105.284559,4e-06,*,*,*,*,*,*,*,*
